,TweetId
112,1038833696621522944
113,1038833617961738241
114,1038833462633881600
115,1038833008248279040
116,1038832941567234048
117,1038832840811732992
118,1038832611118997505
119,1038832290359660545
120,1038831999606251520
121,1038831769682882560
122,1038831495895343104
123,1038831254945390593
124,1038830956994539525
125,1038830018569428992
126,1038829965624664064
127,1038827972449447936
128,1038827485679509510
129,1038827359795798016
130,1038826983789146114
131,1038824686526844928
132,1038824651282161665
133,1038824423439196162
134,1038824258284277760
135,1038823497852772352
136,1038822403940339713
137,1038822220943044608
138,1038822113296056320
139,1038820525190131712
140,1038820455006789632
141,1038820269148655616
142,1038819829623533568
143,1038819483299864577
144,1038818911016439808
145,1038818414800695296
146,1038818297754443776
147,1038773642493087745
148,1038758454947504128
149,1038715757876666370
150,1038702756104757248
151,1038701723462717440
152,1038701414111825920
153,1038672640095993856
154,1038590549211705344
155,1038386095333888000
156,1038384794319683585
157,1038355829882318849
158,1038321350677426176
159,1038310865190105088
160,1038307267412602881
161,1038302561365909504
162,1038256277888090112
163,1038181634292338688
164,1038085260339163141
165,1038071709109235712
166,1038057068056342528
167,1038018377699287048
168,1037973971151532033
169,1037968003097186304
170,1037950295895027712
171,1037939773141221376
172,1037915431082881026
173,1037911756415352832
174,1037911742016180224
175,1037908196084482049
176,1037892424897454081
177,1.03787E+18
178,1037807141648646144
179,1037791752898404352
180,1037783914331418626
181,1037771515822055427
182,1037750338328162311
183,1037744935242543104
184,1037690882240081921
185,1037646313704382464
186,1037630751305551873
187,1037600650723381248
188,1037600345378177024
189,1037596394104795136
190,1037591062116585472
191,1037577076457529344
192,1037568457255018496
193,1037568298513313793
194,1037568004949790721
195,1037567908229132288
196,1037567715278573569
197,1037567491206201344
198,1037567329067065344
199,1037566989580025856
200,1037566942117285894
201,1037566777188790273
202,1037566355908845568
203,1037566173855076360
204,1037566129768722432
205,1037565951946973184
206,1037565854760689665
207,1037565853317791745
208,1037565714024919041
209,1037565676498706432
210,1037565536257724416
211,1037565197056180224
212,1037565190525661184
213,1037565067829698560
214,1037564568539557888
215,1037564540689559553
216,1037564395369492480
217,1037564299311497216
218,1037564180268769280
219,1037563925338812416
220,1037563803368603650
221,1037563548602445824
222,1037563173035896832
223,1037563123937488896
224,1037563123006357504
225,1037562738367594496
226,1037562712765739008
227,1037562711931015168
228,1037562304718626816
229,1037562278999019520
230,1037562132240289792
231,1037562111524790273
232,1037561585449877504
233,1037561571164049408
234,1037560760245911552
235,1037560664112414720
236,1037560427926962176
237,1037560241460846592
238,1037560162402398208
239,1037559942063050753
240,1037559784961130496
241,1037541274985873409
242,1037541268262404096
243,1037536499745533953
244,1037534065510031361
245,1037428469934768128
246,1037427064666648576
247,1037384398839005184
248,1037349043922509824
249,1037324557294555138
250,1037316684195872768
251,1037276266402119681
252,1037271599160934400
253,1037264327944822784
254,1037259482206793729
255,1037258476378968064
256,1037248142020890624
257,1037233554357473281
258,1037232533459673088
259,1037190378208866305
260,1037185110376947712
261,1037178769067261953
262,1037066973727870976
263,1037027085389361152
264,1037025815152738305
265,1037010417636257794
266,1036999720630083584
267,1036997251149778945
268,1036997249392422913
269,1036989596612145152
270,1036969486400675842
271,1036947307894382592
272,1036941372719128576
273,1036934946475016193
274,1036922264858636289
275,1036920801080107008
276,1036919083772649477
277,1036913498565959680
278,1036908684331376640
279,1036886018883039233
280,1036868792985509888
281,1036852961731854337
282,1036809543152353285
283,1036764910817030144
284,1036741929294352384
